#label,tag,component_name(=value),reference,footprint,vendor
######## resistance ########,,,,,
r,1,R,R,,
r,1,R(0402M),R,0402M,
r,1,R(0603M),R,0603M,
r,1,R(1005M),R,1005M,
r,1,R(1608M),R,1608M,
r,1,R(2012M),R,2012M,
r,1,R(3216M),R,3216M,
r,1,R(3225M),R,3225M,
r,1,R(4520M),R,4520M,
r,1,R(4532M),R,4532M,
r,1,R(5720M),R,5720M,
r,1,R(5750M),R,5750M,
######## capacitance ########,,,,,
c,0,C(cera),C,,
c,1,C(pole),C,,
c,2,C(npole),C,,
c,0,C(0402M),C,0402M,
c,0,C(0603M),C,0603M,
c,0,C(1005M),C,1005M,
c,0,C(1608M),C,1608M,
c,0,C(2012M),C,2012M,
c,0,C(3216M),C,3216M,
c,0,C(3225M),C,3225M,
c,0,C(4520M),C,4520M,
c,0,C(4532M),C,4532M,
c,0,C(5720M),C,5720M,
c,0,C(5750M),C,5750M,
######## transistor ########,,,,,
tr,npn,2SC2712,Q,,
tr,npn,2SC2713,Q,,
tr,npn,2SC2859,Q,,
tr,npn,2SC2881,Q,,
tr,npn,2SC3076,Q,,
tr,npn,2SC3138,Q,,
tr,npn,2SC3265,Q,,
tr,npn,2SC3303,Q,,
tr,npn,2SC3324,Q,,
tr,npn,2SC3325,Q,,
tr,npn,2SC3326,Q,,
tr,npn,2SC4116,Q,,
tr,npn,2SC4117,Q,,
tr,npn,2SC4118,Q,,
tr,npn,2SC4213,Q,,
tr,npn,2SC4497,Q,,
tr,npn,2SC4738,Q,,
tr,npn,2SC5198,Q,,
tr,npn,2SC5199,Q,,
tr,npn,2SC5200N,Q,,
tr,npn,2SC5200,Q,,
tr,npn,2SC5232,Q,,
tr,npn,2SC5233,Q,,
tr,npn,2SC5242,Q,,
tr,npn,2SC5354,Q,,
tr,npn,2SC5358,Q,,
tr,npn,2SC5359,Q,,
tr,npn,2SC5376CT,Q,,
tr,npn,2SC5376FV,Q,,
tr,npn,2SC5376,Q,,
tr,npn,2SC5548A,Q,,
tr,npn,2SC5692,Q,,
tr,npn,2SC5703,Q,,
tr,npn,2SC5712,Q,,
tr,npn,2SC5713,Q,,
tr,npn,2SC5714,Q,,
tr,npn,2SC5738,Q,,
tr,npn,2SC5755,Q,,
tr,npn,2SC5784,Q,,
tr,npn,2SC5785,Q,,
tr,npn,2SC5810,Q,,
tr,npn,2SC5819,Q,,
tr,npn,2SC5886A,Q,,
tr,npn,2SC5906,Q,,
tr,npn,2SC5948,Q,,
tr,npn,2SC5949,Q,,
tr,npn,2SC5976,Q,,
tr,npn,2SC6000,Q,,
tr,npn,2SC6026CT,Q,,
tr,npn,2SC6026MFV,Q,,
tr,npn,2SC6033,Q,,
tr,npn,2SC6061,Q,,
tr,npn,2SC6076,Q,,
tr,npn,2SC6100,Q,,
tr,npn,2SC6124,Q,,
tr,npn,2SC6125,Q,,
tr,npn,2SC6126,Q,,
tr,npn,2SC6127,Q,,
tr,npn,2SC6133,Q,,
tr,npn,2SC6134,Q,,
tr,npn,2SC6135,Q,,
tr,npn,2SC6142,Q,,
tr,npn,2SD1223,Q,,
tr,npn,2SD2686,Q,,
tr,npn,2SD2719,Q,,
tr,npn,TPC6501,Q,,
tr,npn,TPC6502,Q,,
tr,npn,TPC6503,Q,,
tr,npn,TPC6504,Q,,
tr,npn,TPCP8504,Q,,
tr,npn,TPCP8505,Q,,
tr,npn,TPCP8507,Q,,
tr,npn,TPCP8510,Q,,
tr,npn,TPCP8511,Q,,
tr,npn,TTC0001,Q,,
tr,npn,TTC0002,Q,,
tr,npn,TTC005,Q,,
tr,npn,TTC007,Q,,
tr,npn,TTC008,Q,,
tr,npn,TTC012,Q,,
tr,npn,TTC013,Q,,
tr,npn,TTC3710B,Q,,
tr,npn,TTC4116FU,Q,,
tr,npn,TTC5200,Q,,
tr,npn,TTD1409B,Q,,
tr,npn,TTD1410B,Q,,
tr,npn,TTD1415B,Q,,
tr,pnp,2SA1162,Q,,
tr,pnp,2SA1163,Q,,
tr,pnp,2SA1182,Q,,
tr,pnp,2SA1201,Q,,
tr,pnp,2SA1225,Q,,
tr,pnp,2SA1241,Q,,
tr,pnp,2SA1244,Q,,
tr,pnp,2SA1298,Q,,
tr,pnp,2SA1312,Q,,
tr,pnp,2SA1313,Q,,
tr,pnp,2SA1362,Q,,
tr,pnp,2SA1483,Q,,
tr,pnp,2SA1586,Q,,
tr,pnp,2SA1587,Q,,
tr,pnp,2SA1588,Q,,
tr,pnp,2SA1620,Q,,
tr,pnp,2SA1621,Q,,
tr,pnp,2SA1721,Q,,
tr,pnp,2SA1832,Q,,
tr,pnp,2SA1941,Q,,
tr,pnp,2SA1942,Q,,
tr,pnp,2SA1943N,Q,,
tr,pnp,2SA1943,Q,,
tr,pnp,2SA1953,Q,,
tr,pnp,2SA1954,Q,,
tr,pnp,2SA1955FV,Q,,
tr,pnp,2SA1955,Q,,
tr,pnp,2SA1962,Q,,
tr,pnp,2SA1971,Q,,
tr,pnp,2SA1986,Q,,
tr,pnp,2SA1987,Q,,
tr,pnp,2SA2034,Q,,
tr,pnp,2SA2056,Q,,
tr,pnp,2SA2058,Q,,
tr,pnp,2SA2059,Q,,
tr,pnp,2SA2060,Q,,
tr,pnp,2SA2061,Q,,
tr,pnp,2SA2065,Q,,
tr,pnp,2SA2066,Q,,
tr,pnp,2SA2069,Q,,
tr,pnp,2SA2070,Q,,
tr,pnp,2SA2097,Q,,
tr,pnp,2SA2120,Q,,
tr,pnp,2SA2121,Q,,
tr,pnp,2SA2142,Q,,
tr,pnp,2SA2154CT,Q,,
tr,pnp,2SA2154MFV,Q,,
tr,pnp,2SA2184,Q,,
tr,pnp,2SA2195,Q,,
tr,pnp,2SA2206,Q,,
tr,pnp,2SA2214,Q,,
tr,pnp,2SA2215,Q,,
tr,pnp,2SB906,Q,,
tr,pnp,TPC6601,Q,,
tr,pnp,TPC6602,Q,,
tr,pnp,TPC6603,Q,,
tr,pnp,TPC6604,Q,,
tr,pnp,TPCP8601,Q,,
tr,pnp,TPCP8602,Q,,
tr,pnp,TPCP8604,Q,,
tr,pnp,TTA0001,Q,,
tr,pnp,TTA0002,Q,,
tr,pnp,TTA003,Q,,
tr,pnp,TTA005,Q,,
tr,pnp,TTA007,Q,,
tr,pnp,TTA1452B,Q,,
tr,pnp,TTA1586FU,Q,,
tr,pnp,TTA1943,Q,,
tr,pnp,TTB001,Q,,
tr,pnp,TTB002,Q,,
tr,pnp,TTB1020B,Q,,
mosfet,n,2SK1062,Q,,
mosfet,n,2SK1359,Q,,
mosfet,n,2SK1828,Q,,
mosfet,n,2SK1829,Q,,
mosfet,n,2SK1830,Q,,
mosfet,n,2SK2009,Q,,
mosfet,n,2SK2033,Q,,
mosfet,n,2SK2034,Q,,
mosfet,n,2SK2035,Q,,
mosfet,n,2SK2036,Q,,
mosfet,n,2SK2037,Q,,
mosfet,n,2SK2601,Q,,
mosfet,n,2SK2602,Q,,
mosfet,n,2SK2607,Q,,
mosfet,n,2SK2613,Q,,
mosfet,n,2SK2699,Q,,
mosfet,n,2SK2719,Q,,
mosfet,n,2SK2847,Q,,
mosfet,n,2SK2865,Q,,
mosfet,n,2SK2917,Q,,
mosfet,n,2SK2963,Q,,
mosfet,n,2SK2964,Q,,
mosfet,n,2SK2992,Q,,
mosfet,n,2SK3017,Q,,
mosfet,n,2SK3132,Q,,
mosfet,n,2SK3301,Q,,
mosfet,n,2SK3438,Q,,
mosfet,n,2SK3466,Q,,
mosfet,n,2SK3471,Q,,
mosfet,n,2SK3473,Q,,
mosfet,n,2SK3544,Q,,
mosfet,n,2SK3561,Q,,
mosfet,n,2SK3562,Q,,
mosfet,n,2SK3563,Q,,
mosfet,n,2SK3564,Q,,
mosfet,n,2SK3565,Q,,
mosfet,n,2SK3566,Q,,
mosfet,n,2SK3567,Q,,
mosfet,n,2SK3568,Q,,
mosfet,n,2SK3569,Q,,
mosfet,n,2SK3633,Q,,
mosfet,n,2SK3667,Q,,
mosfet,n,2SK3700,Q,,
mosfet,n,2SK3742,Q,,
mosfet,n,2SK3767,Q,,
mosfet,n,2SK3797,Q,,
mosfet,n,2SK3798,Q,,
mosfet,n,2SK3799,Q,,
mosfet,n,2SK3842,Q,,
mosfet,n,2SK3843,Q,,
mosfet,n,2SK3878,Q,,
mosfet,n,2SK3880,Q,,
mosfet,n,2SK3934,Q,,
mosfet,n,2SK3940,Q,,
mosfet,n,2SK3947,Q,,
mosfet,n,2SK4012,Q,,
mosfet,n,2SK4013,Q,,
mosfet,n,2SK4014,Q,,
mosfet,n,2SK4017,Q,,
mosfet,n,2SK4033,Q,,
mosfet,n,2SK4034,Q,,
mosfet,n,2SK4115,Q,,
mosfet,n,2SK4207,Q,,
mosfet,n,SSM3K01F,Q,,
mosfet,n,SSM3K01T,Q,,
mosfet,n,SSM3K09FU,Q,,
mosfet,n,SSM3K104TU,Q,,
mosfet,n,SSM3K106TU,Q,,
mosfet,n,SSM3K116TU,Q,,
mosfet,n,SSM3K119TU,Q,,
mosfet,n,SSM3K121TU,Q,,
mosfet,n,SSM3K122TU,Q,,
mosfet,n,SSM3K123TU,Q,,
mosfet,n,SSM3K124TU,Q,,
mosfet,n,SSM3K127TU,Q,,
mosfet,n,SSM3K131TU,Q,,
mosfet,n,SSM3K15ACT,Q,,
mosfet,n,SSM3K15AFS,Q,,
mosfet,n,SSM3K15AFU,Q,,
mosfet,n,SSM3K15AMFV,Q,,
mosfet,n,SSM3K15CT,Q,,
mosfet,n,SSM3K15FS,Q,,
mosfet,n,SSM3K15FU,Q,,
mosfet,n,SSM3K15F,Q,,
mosfet,n,SSM3K16CT,Q,,
mosfet,n,SSM3K16FS,Q,,
mosfet,n,SSM3K16FU,Q,,
mosfet,n,SSM3K16FV,Q,,
mosfet,n,SSM3K17FU,Q,,
mosfet,n,SSM3K301T,Q,,
mosfet,n,SSM3K302T,Q,,
mosfet,n,SSM3K303T,Q,,
mosfet,n,SSM3K309T,Q,,
mosfet,n,SSM3K310T,Q,,
mosfet,n,SSM3K315T,Q,,
mosfet,n,SSM3K316T,Q,,
mosfet,n,SSM3K318T,Q,,
mosfet,n,SSM3K320T,Q,,
mosfet,n,SSM3K324R,Q,,
mosfet,n,SSM3K329R,Q,,
mosfet,n,SSM3K333R,Q,,
mosfet,n,SSM3K335R,Q,,
mosfet,n,SSM3K336R,Q,,
mosfet,n,SSM3K337R,Q,,
mosfet,n,SSM3K35CT,Q,,
mosfet,n,SSM3K35FS,Q,,
mosfet,n,SSM3K35MFV,Q,,
mosfet,n,SSM3K36FS,Q,,
mosfet,n,SSM3K36MFV,Q,,
mosfet,n,SSM3K36TU,Q,,
mosfet,n,SSM3K37CT,Q,,
mosfet,n,SSM3K37FS,Q,,
mosfet,n,SSM3K37MFV,Q,,
mosfet,n,SSM3K43FS,Q,,
mosfet,n,SSM3K44FS,Q,,
mosfet,n,SSM3K44MFV,Q,,
mosfet,n,SSM3K48FU,Q,,
mosfet,n,SSM3K56CT,Q,,
mosfet,n,SSM3K56FS,Q,,
mosfet,n,SSM3K56MFV,Q,,
mosfet,n,SSM3K7002AFU,Q,,
mosfet,n,SSM3K7002BFS,Q,,
mosfet,n,SSM3K7002BFU,Q,,
mosfet,n,SSM3K7002BF,Q,,
mosfet,n,SSM3K7002FU,Q,,
mosfet,n,SSM3K7002F,Q,,
mosfet,n,SSM4K27CT,Q,,
mosfet,n,SSM6K202FE,Q,,
mosfet,n,SSM6K203FE,Q,,
mosfet,n,SSM6K204FE,Q,,
mosfet,n,SSM6K208FE,Q,,
mosfet,n,SSM6K210FE,Q,,
mosfet,n,SSM6K211FE,Q,,
mosfet,n,SSM6K22FE,Q,,
mosfet,n,SSM6K24FE,Q,,
mosfet,n,SSM6K25FE,Q,,
mosfet,n,SSM6K30FE,Q,,
mosfet,n,SSM6K31FE,Q,,
mosfet,n,SSM6K403TU,Q,,
mosfet,n,SSM6K404TU,Q,,
mosfet,n,SSM6K405TU,Q,,
mosfet,n,SSM6K406TU,Q,,
mosfet,n,SSM6K407TU,Q,,
mosfet,n,SSM6K411TU,Q,,
mosfet,n,SSM6K504NU,Q,,
mosfet,n,TK100A06N1,Q,,
mosfet,n,TK100A08N1,Q,,
mosfet,n,TK100A10N1,Q,,
mosfet,n,TK100E06N1,Q,,
mosfet,n,TK100E08N1,Q,,
mosfet,n,TK100E10N1,Q,,
mosfet,n,TK100F04K3L,Q,,
mosfet,n,TK100F04K3,Q,,
mosfet,n,TK100F06K3,Q,,
mosfet,n,TK100L60W,Q,,
mosfet,n,TK100S04N1L,Q,,
mosfet,n,TK10A50D,Q,,
mosfet,n,TK10A55D,Q,,
mosfet,n,TK10A60D,Q,,
mosfet,n,TK10A60W,Q,,
mosfet,n,TK10E60W,Q,,
mosfet,n,TK10P60W,Q,,
mosfet,n,TK10Q60W,Q,,
mosfet,n,TK10S04K3L,Q,,
mosfet,n,TK10X40D,Q,,
mosfet,n,TK11A45D,Q,,
mosfet,n,TK11A50D,Q,,
mosfet,n,TK11A55D,Q,,
mosfet,n,TK11A60D,Q,,
mosfet,n,TK11A65D,Q,,
mosfet,n,TK12A10K3,Q,,
mosfet,n,TK12A45D,Q,,
mosfet,n,TK12A50D,Q,,
mosfet,n,TK12A53D,Q,,
mosfet,n,TK12A55D,Q,,
mosfet,n,TK12A60D,Q,,
mosfet,n,TK12A60U,Q,,
mosfet,n,TK12A60W,Q,,
mosfet,n,TK12A65D,Q,,
mosfet,n,TK12E60U,Q,,
mosfet,n,TK12E60W,Q,,
mosfet,n,TK12J55D,Q,,
mosfet,n,TK12J60U,Q,,
mosfet,n,TK12J60W,Q,,
mosfet,n,TK12P60W,Q,,
mosfet,n,TK12Q60W,Q,,
mosfet,n,TK12X53D,Q,,
mosfet,n,TK130F06K3,Q,,
mosfet,n,TK13A25D,Q,,
mosfet,n,TK13A45D,Q,,
mosfet,n,TK13A50DA,Q,,
mosfet,n,TK13A50D,Q,,
mosfet,n,TK13A55DA,Q,,
mosfet,n,TK13A60D,Q,,
mosfet,n,TK13A65D,Q,,
mosfet,n,TK13A65U,Q,,
mosfet,n,TK13E25D,Q,,
mosfet,n,TK13J65U,Q,,
mosfet,n,TK13P25D,Q,,
mosfet,n,TK14A45DA,Q,,
mosfet,n,TK14A45D,Q,,
mosfet,n,TK14A55D,Q,,
mosfet,n,TK150F04K3L,Q,,
mosfet,n,TK150F04K3,Q,,
mosfet,n,TK15A20D,Q,,
mosfet,n,TK15A50D,Q,,
mosfet,n,TK15A60D,Q,,
mosfet,n,TK15A60U,Q,,
mosfet,n,TK15E60U,Q,,
mosfet,n,TK15J50D,Q,,
mosfet,n,TK15J60U,Q,,
mosfet,n,TK16A45D,Q,,
mosfet,n,TK16A55D,Q,,
mosfet,n,TK16A60W5,Q,,
mosfet,n,TK16A60W,Q,,
mosfet,n,TK16C60W,Q,,
mosfet,n,TK16E60W,Q,,
mosfet,n,TK16G60W,Q,,
mosfet,n,TK16J55D,Q,,
mosfet,n,TK16J60W,Q,,
mosfet,n,TK16N60W,Q,,
mosfet,n,TK17A25D,Q,,
mosfet,n,TK17A65U,Q,,
mosfet,n,TK17J65U,Q,,
mosfet,n,TK18A30D,Q,,
mosfet,n,TK18A50D,Q,,
mosfet,n,TK18E10K3,Q,,
mosfet,n,TK19A45D,Q,,
mosfet,n,TK19J55D,Q,,
mosfet,n,TK1P90A,Q,,
mosfet,n,TK1Q90A,Q,,
mosfet,n,TK20A20D,Q,,
mosfet,n,TK20A25D,Q,,
mosfet,n,TK20A60U,Q,,
mosfet,n,TK20A60W,Q,,
mosfet,n,TK20C60W,Q,,
mosfet,n,TK20E60W,Q,,
mosfet,n,TK20G60W,Q,,
mosfet,n,TK20J50D,Q,,
mosfet,n,TK20J60W,Q,,
mosfet,n,TK20N60W,Q,,
mosfet,n,TK20P04M1,Q,,
mosfet,n,TK20S04K3L,Q,,
mosfet,n,TK20S06K3L,Q,,
mosfet,n,TK22A10N1,Q,,
mosfet,n,TK22E10N1,Q,,
mosfet,n,TK25A10K3,Q,,
mosfet,n,TK25A20D,Q,,
mosfet,n,TK25E06K3,Q,,
mosfet,n,TK2A65D,Q,,
mosfet,n,TK2P60D,Q,,
mosfet,n,TK2Q60D,Q,,
mosfet,n,TK30A06N1,Q,,
mosfet,n,TK30E06N1,Q,,
mosfet,n,TK30S06K3L,Q,,
mosfet,n,TK31A60W,Q,,
mosfet,n,TK31E60W,Q,,
mosfet,n,TK31J60W5,Q,,
mosfet,n,TK31J60W,Q,,
mosfet,n,TK31N60W,Q,,
mosfet,n,TK32A12N1,Q,,
mosfet,n,TK32E12N1,Q,,
mosfet,n,TK34A10N1,Q,,
mosfet,n,TK34E10N1,Q,,
mosfet,n,TK35A08N1,Q,,
mosfet,n,TK35E08N1,Q,,
mosfet,n,TK35S04K3L,Q,,
mosfet,n,TK39A60W,Q,,
mosfet,n,TK39J60W5,Q,,
mosfet,n,TK39J60W,Q,,
mosfet,n,TK39N60W,Q,,
mosfet,n,TK3A60DA,Q,,
mosfet,n,TK3A65DA,Q,,
mosfet,n,TK3A65D,Q,,
mosfet,n,TK3P50D,Q,,
mosfet,n,TK40A06N1,Q,,
mosfet,n,TK40A08K3,Q,,
mosfet,n,TK40A10K3,Q,,
mosfet,n,TK40A10N1,Q,,
mosfet,n,TK40E06N1,Q,,
mosfet,n,TK40E10K3,Q,,
mosfet,n,TK40E10N1,Q,,
mosfet,n,TK40M60U,Q,,
mosfet,n,TK40P03M1,Q,,
mosfet,n,TK40P04M1,Q,,
mosfet,n,TK40S10K3Z,Q,,
mosfet,n,TK40X10J1,Q,,
mosfet,n,TK42A12N1,Q,,
mosfet,n,TK42E12N1,Q,,
mosfet,n,TK45P03M1,Q,,
mosfet,n,TK46A08N1,Q,,
mosfet,n,TK46E08N1,Q,,
mosfet,n,TK4A50D,Q,,
mosfet,n,TK4A53D,Q,,
mosfet,n,TK4A55DA,Q,,
mosfet,n,TK4A55D,Q,,
mosfet,n,TK4A60DA,Q,,
mosfet,n,TK4A60DB,Q,,
mosfet,n,TK4A60D,Q,,
mosfet,n,TK4A65DA,Q,,
mosfet,n,TK4P50D,Q,,
mosfet,n,TK4P55DA,Q,,
mosfet,n,TK4P55D,Q,,
mosfet,n,TK4P60DA,Q,,
mosfet,n,TK4P60DB,Q,,
mosfet,n,TK4P60D,Q,,
mosfet,n,TK4Q60DA,Q,,
mosfet,n,TK50A04K3,Q,,
mosfet,n,TK50E06K3A,Q,,
mosfet,n,TK50F15J1,Q,,
mosfet,n,TK50P03M1,Q,,
mosfet,n,TK50P04M1,Q,,
mosfet,n,TK50S04K3L,Q,,
mosfet,n,TK50X15J1,Q,,
mosfet,n,TK55S10N1,Q,,
mosfet,n,TK56A12N1,Q,,
mosfet,n,TK56E12N1,Q,,
mosfet,n,TK58A06N1,Q,,
mosfet,n,TK58E06N1,Q,,
mosfet,n,TK5A45DA,Q,,
mosfet,n,TK5A50D,Q,,
mosfet,n,TK5A53D,Q,,
mosfet,n,TK5A55D,Q,,
mosfet,n,TK5A60D,Q,,
mosfet,n,TK5A60W,Q,,
mosfet,n,TK5A65DA,Q,,
mosfet,n,TK5A65D,Q,,
mosfet,n,TK5P50D,Q,,
mosfet,n,TK5P53D,Q,,
mosfet,n,TK5P60W,Q,,
mosfet,n,TK5Q60W,Q,,
mosfet,n,TK60P03M1,Q,,
mosfet,n,TK60S06K3L,Q,,
mosfet,n,TK62J60W,Q,,
mosfet,n,TK62N60W,Q,,
mosfet,n,TK65A10N1,Q,,
mosfet,n,TK65E10N1,Q,,
mosfet,n,TK65S04K3L,Q,,
mosfet,n,TK6A45DA,Q,,
mosfet,n,TK6A50D,Q,,
mosfet,n,TK6A53D,Q,,
mosfet,n,TK6A55DA,Q,,
mosfet,n,TK6A60D,Q,,
mosfet,n,TK6A60W,Q,,
mosfet,n,TK6A65D,Q,,
mosfet,n,TK6P53D,Q,,
mosfet,n,TK6P60W,Q,,
mosfet,n,TK6Q60W,Q,,
mosfet,n,TK70J04J3,Q,,
mosfet,n,TK70J20D,Q,,
mosfet,n,TK70X04K3Z,Q,,
mosfet,n,TK70X04K3,Q,,
mosfet,n,TK70X06K3,Q,,
mosfet,n,TK72A08N1,Q,,
mosfet,n,TK72A12N1,Q,,
mosfet,n,TK72E08N1,Q,,
mosfet,n,TK72E12N1,Q,,
mosfet,n,TK75A06K3,Q,,
mosfet,n,TK7A45DA,Q,,
mosfet,n,TK7A50D,Q,,
mosfet,n,TK7A55D,Q,,
mosfet,n,TK7A60W,Q,,
mosfet,n,TK7A65D,Q,,
mosfet,n,TK7P50D,Q,,
mosfet,n,TK7P60W,Q,,
mosfet,n,TK7Q60W,Q,,
mosfet,n,TK80A04K3L,Q,,
mosfet,n,TK80A08K3,Q,,
mosfet,n,TK80E06K3A,Q,,
mosfet,n,TK80F08K3,Q,,
mosfet,n,TK80S04K3L,Q,,
mosfet,n,TK80S06K3L,Q,,
mosfet,n,TK80X04K3L,Q,,
mosfet,n,TK80X04K3,Q,,
mosfet,n,TK8A10K3,Q,,
mosfet,n,TK8A25DA,Q,,
mosfet,n,TK8A45DA,Q,,
mosfet,n,TK8A45D,Q,,
mosfet,n,TK8A50DA,Q,,
mosfet,n,TK8A50D,Q,,
mosfet,n,TK8A55DA,Q,,
mosfet,n,TK8A60DA,Q,,
mosfet,n,TK8A60W,Q,,
mosfet,n,TK8A65D,Q,,
mosfet,n,TK8P25DA,Q,,
mosfet,n,TK8P60W,Q,,
mosfet,n,TK8Q60W,Q,,
mosfet,n,TK8S06K3L,Q,,
mosfet,n,TK9A20DA,Q,,
mosfet,n,TK9A45D,Q,,
mosfet,n,TK9A55DA,Q,,
mosfet,n,TK9A60D,Q,,
mosfet,n,TPC6008-H,Q,,
mosfet,n,TPC6009-H,Q,,
mosfet,n,TPC6010-H,Q,,
mosfet,n,TPC6011,Q,,
mosfet,n,TPC6012,Q,,
mosfet,n,TPC6067,Q,,
mosfet,n,TPC8045-H,Q,,
mosfet,n,TPC8046-H,Q,,
mosfet,n,TPC8047-H,Q,,
mosfet,n,TPC8048-H,Q,,
mosfet,n,TPC8049-H,Q,,
mosfet,n,TPC8050-H,Q,,
mosfet,n,TPC8051-H,Q,,
mosfet,n,TPC8052-H,Q,,
mosfet,n,TPC8053-H,Q,,
mosfet,n,TPC8055-H,Q,,
mosfet,n,TPC8056-H,Q,,
mosfet,n,TPC8057-H,Q,,
mosfet,n,TPC8058-H,Q,,
mosfet,n,TPC8059-H,Q,,
mosfet,n,TPC8062-H,Q,,
mosfet,n,TPC8063-H,Q,,
mosfet,n,TPC8064-H,Q,,
mosfet,n,TPC8065-H,Q,,
mosfet,n,TPC8066-H,Q,,
mosfet,n,TPC8067-H,Q,,
mosfet,n,TPC8073,Q,,
mosfet,n,TPC8074,Q,,
mosfet,n,TPC8075,Q,,
mosfet,n,TPC8076,Q,,
mosfet,n,TPC8078,Q,,
mosfet,n,TPC8080,Q,,
mosfet,n,TPC8081,Q,,
mosfet,n,TPC8082,Q,,
mosfet,n,TPC8084,Q,,
mosfet,n,TPC8085,Q,,
mosfet,n,TPC8086,Q,,
mosfet,n,TPC8087,Q,,
mosfet,n,TPC8088,Q,,
mosfet,n,TPC8092,Q,,
mosfet,n,TPCA8006-H,Q,,
mosfet,n,TPCA8008-H,Q,,
mosfet,n,TPCA8010-H,Q,,
mosfet,n,TPCA8042,Q,,
mosfet,n,TPCA8045-H,Q,,
mosfet,n,TPCA8046-H,Q,,
mosfet,n,TPCA8047-H,Q,,
mosfet,n,TPCA8048-H,Q,,
mosfet,n,TPCA8049-H,Q,,
mosfet,n,TPCA8050-H,Q,,
mosfet,n,TPCA8051-H,Q,,
mosfet,n,TPCA8052-H,Q,,
mosfet,n,TPCA8053-H,Q,,
mosfet,n,TPCA8055-H,Q,,
mosfet,n,TPCA8056-H,Q,,
mosfet,n,TPCA8057-H,Q,,
mosfet,n,TPCA8058-H,Q,,
mosfet,n,TPCA8059-H,Q,,
mosfet,n,TPCA8062-H,Q,,
mosfet,n,TPCA8063-H,Q,,
mosfet,n,TPCA8064-H,Q,,
mosfet,n,TPCA8065-H,Q,,
mosfet,n,TPCA8068-H,Q,,
mosfet,n,TPCA8075,Q,,
mosfet,n,TPCA8078,Q,,
mosfet,n,TPCA8080,Q,,
mosfet,n,TPCA8081,Q,,
mosfet,n,TPCA8082,Q,,
mosfet,n,TPCA8083,Q,,
mosfet,n,TPCA8084,Q,,
mosfet,n,TPCA8085,Q,,
mosfet,n,TPCA8086,Q,,
mosfet,n,TPCA8087,Q,,
mosfet,n,TPCA8088,Q,,
mosfet,n,TPCC8005-H,Q,,
mosfet,n,TPCC8006-H,Q,,
mosfet,n,TPCC8007,Q,,
mosfet,n,TPCC8008,Q,,
mosfet,n,TPCC8062-H,Q,,
mosfet,n,TPCC8064-H,Q,,
mosfet,n,TPCC8065-H,Q,,
mosfet,n,TPCC8066-H,Q,,
mosfet,n,TPCC8067-H,Q,,
mosfet,n,TPCC8068-H,Q,,
mosfet,n,TPCC8069,Q,,
mosfet,n,TPCC8070,Q,,
mosfet,n,TPCC8073,Q,,
mosfet,n,TPCC8074,Q,,
mosfet,n,TPCC8076,Q,,
mosfet,n,TPCC8084,Q,,
mosfet,n,TPCC8093,Q,,
mosfet,n,TPCF8002,Q,,
mosfet,n,TPCF8003,Q,,
mosfet,n,TPCF8004,Q,,
mosfet,n,TPCP8003-H,Q,,
mosfet,n,TPCP8004,Q,,
mosfet,n,TPCP8005-H,Q,,
mosfet,n,TPCP8006,Q,,
mosfet,n,TPCP8007-H,Q,,
mosfet,n,TPCP8009,Q,,
mosfet,n,TPCP8010,Q,,
mosfet,n,TPCP8011,Q,,
mosfet,n,TPCP8012,Q,,
mosfet,n,TPCP8013,Q,,
mosfet,n,TPCP8204,Q,,
mosfet,n,TPH11003NL,Q,,
mosfet,n,TPH12008NH,Q,,
mosfet,n,TPH14006NH,Q,,
mosfet,n,TPH1400ANH,Q,,
mosfet,n,TPH2R306NH,Q,,
mosfet,n,TPH4R008NH,Q,,
mosfet,n,TPH4R50ANH,Q,,
mosfet,n,TPH4R606NH,Q,,
mosfet,n,TPH5R906NH,Q,,
mosfet,n,TPH6R003NL,Q,,
mosfet,n,TPH7R506NH,Q,,
mosfet,n,TPH8R008NH,Q,,
mosfet,n,TPH8R80ANH,Q,,
mosfet,n,TPH8R903NL,Q,,
mosfet,n,TPHR9003NL,Q,,
mosfet,n,TPN11003NL,Q,,
mosfet,n,TPN13008NH,Q,,
mosfet,n,TPN14006NH,Q,,
mosfet,n,TPN1600ANH,Q,,
mosfet,n,TPN2R203NC,Q,,
mosfet,n,TPN2R503NC,Q,,
mosfet,n,TPN4R203NC,Q,,
mosfet,n,TPN6R003NL,Q,,
mosfet,n,TPN7R506NH,Q,,
mosfet,n,TPN8R903NL,Q,,
mosfet,p,2SJ168,Q,,
mosfet,p,2SJ305,Q,,
mosfet,p,2SJ360,Q,,
mosfet,p,2SJ668,Q,,
mosfet,p,2SJ680,Q,,
mosfet,p,2SJ681,Q,,
