品番	ライフサイクル	極性	内部接続	V<sub>CEO</sub>(Max)(V)	I<sub>C</sub>(Max)(A)	V<sub>CEO</sub> (Q2)(Max)(V)	I<sub>C</sub> (Q2)(Max)(A)	相補品形名	ピン数	面実装区分	パッケージ名(Toshiba)	備考
2SA1162		PNP		-50	-0.15			2SC2712	3	Y	S-Mini	
2SA1163		PNP		-120	-0.1			2SC2713	3	Y	S-Mini	
2SA1182		PNP		-30	-0.5			2SC2859	3	Y	S-Mini	
2SA1201		PNP		-120	-0.8			2SC2881	3	Y	PW-Mini	hFEによるランク品設定あり
2SA1225		PNP		-160	-1.5			2SC2983	3	Y	PW-Mold	
2SA1241		PNP		-50	-2			2SC3076	3	Y	PW-Mold	
2SA1244		PNP		-50	-5			2SC3074	3	Y	PW-Mold	
2SA1298		PNP		-25	-0.8			2SC3265	3	Y	S-Mini	
2SA1312		PNP		-120	-0.1			2SC3324	3	Y	S-Mini	
2SA1313		PNP		-50	-0.5			2SC3325	3	Y	S-Mini	
2SA1362		PNP		-15	-0.8				3	Y	S-Mini	
2SA1483		PNP		-45	-0.2			2SC3803	3	Y	PW-Mini	hFEによるランク品設定あり
2SA1586		PNP		-50	-0.15			2SC4116	3	Y	USM	
2SA1587		PNP		-120	-0.1			2SC4117	3	Y	USM	
2SA1588		PNP		-30	-0.5			2SC4118	3	Y	USM	
2SA1618		PNP + PNP	エミッタコモン	-50	-0.15	-50	-0.15	2SC4207	5	Y	SMV	
2SA1620		PNP		-80	-0.3			2SC4209	3	Y	S-Mini	
2SA1621		PNP		-30	-0.8			2SC4210	3	Y	S-Mini	
2SA1721		PNP		-300	-0.1			2SC4497	3	Y	S-Mini	
2SA1832		PNP		-50	-0.15			2SC4738	3	Y	SSM	
2SA1873		PNP + PNP	エミッタコモン	-50	-0.15	-50	-0.15	2SC4944	5	Y	USV	
2SA1941		PNP		-140	-10			2SC5198	3	N	TO-3P(N)	
2SA1942		PNP		-160	-12			2SC5199	3	N	TO-3P(L)	
