品番,ライフサイクル,グループ,機能1,機能2,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"74VHC245FT","開発中","TC74VHC","Gate","Bus Transceiver","2","5.5","8","4","20","Y","TSSOP20B",
"TC4001BFT","","TC","Gate","NOR","3","18","0.51","25","14","Y","TSSOP14",
"TC4001BF","","TC","Gate","NOR","3","18","0.51","25","14","Y","SOP14",
"TC4001BP","","TC","Gate","NOR","3","18","0.51","25","14","N","DIP14",
"TC4011BFT","","TC","Gate","NAND","3","18","0.51","25","14","Y","TSSOP14",
"TC4011BF","","TC","Gate","NAND","3","18","0.51","25","14","Y","SOP14",
"TC4011BP","","TC","Gate","NAND","3","18","0.51","25","14","N","DIP14",
"TC4013BF","","TC","Flip-Flop","D-Type Flip-Flop","3","18","0.51","50","14","Y","SOP14",
"TC4013BP","","TC","Flip-Flop","D-Type Flip-Flop","3","18","0.51","50","14","N","DIP14",
"TC4015BF","","TC","Shift Register","Shift Register","3","18","0.51","50","16","Y","SOP16",
"TC4015BP","","TC","Shift Register","Shift Register","3","18","0.51","50","16","N","DIP16",
"TC4017BF","","TC","Counter","Decade Counter","3","18","0.51","85","16","Y","SOP16",
"TC4017BP","","TC","Counter","Decade Counter","3","18","0.51","85","16","N","DIP16",
"TC4020BF","","TC","Counter","Binary Counter","3","18","0.51","65","16","Y","SOP16",
"TC4020BP","","TC","Counter","Binary Counter","3","18","0.51","65","16","N","DIP16",
"TC4021BF","","TC","Shift Register","Parallel-In/Serial-Out Shift Register","3","18","0.51","45","16","Y","SOP16",
"TC4021BP","","TC","Shift Register","Parallel-In/Serial-Out Shift Register","3","18","0.51","45","16","N","DIP16",
"TC4024BF","","TC","Counter","Binary Counter","3","18","0.51","30","14","Y","SOP14",
"TC4024BP","","TC","Counter","Binary Counter","3","18","0.51","30","14","N","DIP14",
"TC4027BF","","TC","Flip-Flop","J-K Flip-Flop","3","18","0.51","60","16","Y","SOP16",
"TC4027BP","","TC","Flip-Flop","J-K Flip-Flop","3","18","0.51","60","16","N","DIP16",
"TC4028BF","","TC","Decoder","BCD-to-Decimal Decoder","3","18","0.51","40","16","Y","SOP16",
"TC4028BP","","TC","Decoder","BCD-to-Decimal Decoder","3","18","0.51","40","16","N","DIP16",
"TC4030BF","","TC","Gate","Exclusive-OR","3","18","0.51","35","14","Y","SOP14",
"TC4030BP","","TC","Gate","Exclusive-OR","3","18","0.51","35","14","N","DIP14",
"TC4040BF","","TC","Counter","Binary Counter","3","18","0.51","65","16","Y","SOP16",
"TC4040BP","","TC","Counter","Binary Counter","3","18","0.51","65","16","N","DIP16",
"TC4044BF","","TC","Latch","R/S Latch","3","18","0.51","35","16","Y","SOP16",
"TC4044BP","","TC","Latch","R/S Latch","3","18","0.51","35","16","N","DIP16",
"TC4049BF","","TC","Gate","Inverter Buffer","3","18","3.2","30","16","Y","SOP16",
"TC4049BP","","TC","Gate","Inverter Buffer","3","18","3.2","30","16","N","DIP16",
"TC4050BF","","TC","Gate","Non-Inverter Buffer","3","18","3.2","25","16","Y","SOP16",
"TC4050BP","","TC","Gate","Non-Inverter Buffer","3","18","3.2","25","16","N","DIP16",
"TC4051BFT","","TC","Multiplexer","8-Channel Analog Multiplexer","3","18","","6","16","Y","TSSOP16",
"TC4051BF","","TC","Multiplexer","8-Channel Analog Multiplexer","3","18","","6","16","Y","SOP16",
"TC4051BP","","TC","Multiplexer","8-Channel Analog Multiplexer","3","18","","6","16","N","DIP16",
"TC4052BFT","","TC","Multiplexer","4-Channel Analog Multiplexer","3","18","","6","16","Y","TSSOP16",
"TC4052BF","","TC","Multiplexer","4-Channel Analog Multiplexer","3","18","","6","16","Y","SOP16",
"TC4052BP","","TC","Multiplexer","4-Channel Analog Multiplexer","3","18","","6","16","N","DIP16",
"TC4053BFT","","TC","Multiplexer","2-Channel Analog Multiplexer","3","18","","6","16","Y","TSSOP16",
"TC4053BF","","TC","Multiplexer","2-Channel Analog Multiplexer","3","18","","6","16","Y","SOP16",
"TC4053BP","","TC","Multiplexer","2-Channel Analog Multiplexer","3","18","","6","16","N","DIP16",
"TC4066BFT","","TC","Other","Bilateral Switch","3","18","","5","14","Y","TSSOP14",
"TC4066BF","","TC","Other","Bilateral Switch","3","18","","5","14","Y","SOP14",
"TC4066BP","","TC","Other","Bilateral Switch","3","18","","5","14","N","DIP14",
"TC4069UBFT","","TC","Gate","Inverter","3","18","0.51","25","14","Y","TSSOP14",
"TC4069UBF","","TC","Gate","Inverter","3","18","0.51","25","14","Y","SOP14",
"TC4069UBP","","TC","Gate","Inverter","3","18","0.51","25","14","N","DIP14",
"TC4071BF","","TC","Gate","OR","3","18","0.51","25","14","Y","SOP14",
"TC4071BP","","TC","Gate","OR","3","18","0.51","25","14","N","DIP14",
"TC4081BF","","TC","Gate","AND","3","18","0.51","25","14","Y","SOP14",
"TC4081BP","","TC","Gate","AND","3","18","0.51","25","14","N","DIP14",
"TC4093BF","","TC","Gate","Schmitt NAND","3","18","0.51","40","14","Y","SOP14",
"TC4093BP","","TC","Gate","Schmitt NAND","3","18","0.51","40","14","N","DIP14",
"TC4094BF","","TC","Shift Register","Shift-and-Store Bus Register","3","18","0.51","65","16","Y","SOP16",
"TC4094BP","","TC","Shift Register","Shift-and-Store Bus Register","3","18","0.51","65","16","N","DIP16",
"TC4511BF","","TC","Decoder","BCD-to-7-Segment Decoder","3","18","0.51","65","16","Y","SOP16",
"TC4511BP","","TC","Decoder","BCD-to-7-Segment Decoder","3","18","0.51","65","16","N","DIP16",
"TC4512BF","","TC","Other","Data Selector","3","18","0.51","65","16","Y","SOP16",
"TC4512BP","","TC","Other","Data Selector","3","18","0.51","65","16","N","DIP16",
"TC4520BF","","TC","Counter","Binary Counter","3","18","0.51","60","16","Y","SOP16",
"TC4520BP","","TC","Counter","Binary Counter","3","18","0.51","60","16","N","DIP16",
"TC4521BP","","TC","Counter","Frequency Divider","3","18","0.51","70","16","N","DIP16",
"TC4538BF","","TC","Multivibrator","Monostable Multivibrator","3","18","0.51","100","16","Y","SOP16",
"TC4538BP","","TC","Multivibrator","Monostable Multivibrator","3","18","0.51","100","16","N","DIP16",
"TC4584BF","","TC","Gate","Schmitt Inverter","3","18","0.51","60","14","Y","SOP14",
"TC4584BP","","TC","Gate","Schmitt Inverter","3","18","0.51","60","14","N","DIP14",
"TC74AC00FT","","TC74AC","Gate","NAND","2","5.5","24","3.8","14","Y","TSSOP14",
"TC74AC00F","","TC74AC","Gate","NAND","2","5.5","24","3.8","14","Y","SOP14",
"TC74AC00P","","TC74AC","Gate","NAND","2","5.5","24","3.8","14","N","DIP14",
"TC74AC02FT","","TC74AC","Gate","NOR","2","5.5","24","3.7","14","Y","TSSOP14",
"TC74AC02F","","TC74AC","Gate","NOR","2","5.5","24","3.7","14","Y","SOP14",
"TC74AC02P","","TC74AC","Gate","NOR","2","5.5","24","3.7","14","N","DIP14",
"TC74AC04FT","","TC74AC","Gate","Inverter","2","5.5","24","3.2","14","Y","TSSOP14",
"TC74AC04F","","TC74AC","Gate","Inverter","2","5.5","24","3.2","14","Y","SOP14",
"TC74AC04P","","TC74AC","Gate","Inverter","2","5.5","24","3.2","14","N","DIP14",
"TC74AC05F","","TC74AC","Gate","Inverter (Open Drain)","2","5.5","24","3.4","14","Y","SOP14",
"TC74AC05P","","TC74AC","Gate","Inverter (Open Drain)","2","5.5","24","3.4","14","N","DIP14",
"TC74AC08FT","","TC74AC","Gate","AND","2","5.5","24","3.4","14","Y","TSSOP14",
"TC74AC08F","","TC74AC","Gate","AND","2","5.5","24","3.4","14","Y","SOP14",
"TC74AC08P","","TC74AC","Gate","AND","2","5.5","24","3.4","14","N","DIP14",
"TC74AC109F","","TC74AC","Flip-Flop","J-K Flip-Flop","2","5.5","24","6.1","16","Y","SOP16",
