品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"2SJ168","","P-ch","-60","+/-20","-0.2","","","","","","","","","","","2","3","Y","S-Mini",
"2SJ305","","P-ch","-30","+/-20","-0.2","","","","","","","4","","","","","3","Y","S-Mini",
"2SJ360","","P-ch","-60","","-1","1.5","155","6.5","","","","","1.2","","","0.73","3","Y","PW-Mini",
"2SJ668","","P-ch","-60","","-5","20","","15","","","","","0.25","","","0.17","3","Y","New PW-Mold",
"2SJ680","","P-ch","-200","","-2.5","20","410","10","","","","","","","","2.0","3","N","New PW-Mold2",
"2SJ681","","P-ch","-60","","-5","20","","15","","","","","0.25","","","0.17","3","N","New PW-Mold2",
"2SK1062","","N-ch","60","+/-20","0.2","","","","","","","","","","","1","3","Y","S-Mini",
"2SK1359","","N-ch","1000","","5","125","700","60","","","","","","","","3.8","3","N","TO-3P(N)",
"2SK1828","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","S-Mini",
"2SK1829","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","USM",
"2SK1830","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","SSM",
"2SK2009","","N-ch","30","+/-20","0.2","","","","","","","2","","","","","3","Y","S-Mini",
"2SK2033","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","S-Mini",
"2SK2034","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","USM",
"2SK2035","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","SSM",
"2SK2036","","N-ch","20","10","0.1","","","","","","","6","","","","","3","Y","S-Mini",
"2SK2037","","N-ch","20","10","0.1","","","","","","","6","","","","","3","Y","USM",
"2SK2601","","N-ch","500","","10","125","1200","30","","","","","","","","1","3","N","TO-3P(N)",
