品番,ライフサイクル,グループ,機能1,機能2,ゲート数,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,パッケージ名(Toshiba),
"TC4S01F","","TC4S","Gate","NOR","1","3","18","12","25","5","SMV",
"TC4S11F","","TC4S","Gate","NAND","1","3","18","12","25","5","SMV",
"TC4S30F","","TC4S","Gate","Exclusive-OR","1","3","18","12","35","5","SMV",
"TC4S584F","","TC4S","Inverter","Schmitt Inverter","1","3","18","15","60","5","SMV",
"TC4S66FU","","TC4S","Switch / Multiplexer","SPST Analog Switch","1","3","18","","20","5","USV",
"TC4S66F","","TC4S","Switch / Multiplexer","SPST Analog Switch","1","3","18","","20","5","SMV",
"TC4S69F","","TC4S","Inverter","Inverter","1","3","18","12","25","5","SMV",
"TC4S71F","","TC4S","Gate","OR","1","3","18","12","25","5","SMV",
"TC4S81F","","TC4S","Gate","AND","1","3","18","12","25","5","SMV",
"TC4SU11F","","TC4S","Gate","NAND (Unbuffer)","1","3","18","12","22","5","SMV",
"TC4SU69F","","TC4S","Inverter","Inverter (Unbuffer)","1","3","18","12","25","5","SMV",
"TC4W53FU","","TC4W","Switch / Multiplexer","SPDT Analog Multiplexer","1","3","18","","70","8","SM8",
"TC4W66FU","","TC4W","Switch / Multiplexer","SPST Analog Switch","2","3","18","","20","8","SM8",
"TC7PA04FU","","TC7PA","Inverter","Inverter","2","1.8","3.6","24","2.8","6","US6",
"TC7PA05FU","","TC7PA","Inverter","Inverter (Open Drain)","2","1.8","3.6","24","3.5","6","US6",
"TC7PA14FU","","TC7PA","Inverter","Schmitt Inverter","2","1.8","3.6","24","4","6","US6",
"TC7PA175FU","","TC7PA","Flip-Flop","D-Type Flip-Flop with Clear","1","1.8","3.6","24","3.5","6","US6",
"TC7PA17FU","","TC7PA","Buffer","Schmitt Buffer","2","1.8","3.6","24","4","6","US6",
"TC7PA19AFE","","TC7PA","Decoder","1-to-2 Decoder","1","1.4","3.6","24","3.3","6","ES6",
"TC7PA19FU","","TC7PA","Decoder","1-to-2 Decoder","1","1.4","3.6","24","3.3","6","US6",
"TC7PA34FU","","TC7PA","Buffer","Non-Inverter Buffer","2","1.8","3.6","24","3.5","6","US6",
"TC7PA53FU","","TC7PA","Switch / Multiplexer","SPDT Analog Multiplexer","1","1.8","3.6","","5","6","US6",
"TC7PAU04FU","","TC7PH","Inverter","Inverter (Unbuffer)","2","1.8","3.6","24","3.5","6","US6",
"TC7PG04AFE","","TC7PG","Inverter","Inverter","2","0.9","3.6","8","2.4","6","ES6",
"TC7PG04FU","","TC7PG","Inverter","Inverter","2","0.9","3.6","8","2.4","6","US6",
"TC7PG14AFE","","TC7PG","Inverter","Schmitt Inverter","2","0.9","3.6","8","","6","ES6",
"TC7PG14FU","","TC7PG","Inverter","Schmitt Inverter","2","0.9","3.6","8","","6","US6",
"TC7PG17AFE","","TC7PG","Buffer","Schmitt Buffer","2","0.9","3.6","8","","6","ES6",
"TC7PG17FU","","TC7PG","Buffer","Schmitt Buffer","2","0.9","3.6","8","3.5","6","US6",
"TC7PG34AFE","","TC7PG","Buffer","Non-Inverter Buffer","2","0.9","3.6","8","2.4","6","ES6",
"TC7PG34FU","","TC7PG","Buffer","Non-Inverter Buffer","2","0.9","3.6","8","2.4","6","US6",
"TC7PGU04AFE","","TC7PG","","","2","0.9","3.6","","","6","ES6",
"TC7PGU04FU","","TC7PG","Inverter","Inverter (Unbuffer)","2","0.9","3.6","8","1.7","6","US6",
"TC7PH04FE","","TC7PH","Inverter","Inverter","2","2","5.5","8","5.3","6","ES6",
"TC7PH34FE","","TC7PH","Buffer","Non-Inverter Buffer","2","2","5.5","8","5.3","6","ES6",
"TC7PZ14FU","","TC7PZ","Inverter","Schmitt Inverter","2","1.65","5.5","32","3.1","6","US6",
"TC7PZ17FU","","TC7PZ","Buffer","Schmitt Buffer","2","1.65","5.5","32","3.1","6","US6",
"TC7S00FU","","TC7S","Gate","NAND","1","2","6","2.6","9","5","USV",
"TC7S00F","","TC7S","Gate","NAND","1","2","6","2.6","9","5","SMV",
"TC7S02FU","","TC7S","Gate","NOR","1","2","6","2.6","7","5","USV",
"TC7S02F","","TC7S","Gate","NOR","1","2","6","2.6","7","5","SMV",
"TC7S04FU","","TC7S","Inverter","Inverter","1","2","6","2.6","5","5","USV",
"TC7S04F","","TC7S","Inverter","Inverter","1","2","6","2.6","5","5","SMV",
"TC7S08FU","","TC7S","Gate","AND","1","2","6","2.6","5","5","USV",
"TC7S08F","","TC7S","Gate","AND","1","2","6","2.6","5","5","SMV",
"TC7S14FU","","TC7S","Inverter","Schmitt Inverter","1","2","6","2.6","4","5","USV",
"TC7S14F","","TC7S","Inverter","Schmitt Inverter","1","2","6","2.6","4","5","SMV",
"TC7S32FU","","TC7S","Gate","OR","1","2","6","2.6","5","5","USV",
"TC7S32F","","TC7S","Gate","OR","1","2","6","2.6","5","5","SMV",
"TC7S66FU","","TC7S","Switch / Multiplexer","SPST Analog Switch","1","2","12","","8","5","USV",
"TC7S66F","","TC7S","Switch / Multiplexer","SPST Analog Switch","1","2","12","","8","5","SMV",
"TC7S86FU","","TC7S","Gate","Exclusive-OR","1","2","6","2.6","10","5","USV",
"TC7S86F","","TC7S","Gate","Exclusive-OR","1","2","6","2.6","10","5","SMV",
"TC7SET00FU","","TC7SET","Gate","NAND","1","4.5","5.5","8","4.7","5","USV",
"TC7SET00F","","TC7SET","Gate","NAND","1","4.5","5.5","8","4.7","5","SMV",
"TC7SET02FU","","TC7SET","Gate","NOR","1","4.5","5.5","8","4.5","5","USV",
