品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
2SA1012	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220AB
2SA1013	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1015(L)	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA1015	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA1020	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1048(L)	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1048	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1049	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1091	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA1145	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1150	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1160	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1200	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1202	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1203	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1204	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1213	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1242	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SA1255	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SA1296	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA1297	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1300	生産終了予定	低周波増幅用トランジスタ	TO-92
2SA1314	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1315	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1321	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1327A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SA1335	生産終了予定	低周波増幅用トランジスタ	Mini
2SA1356	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SA1357	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SA1358	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SA1359	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SA1360	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SA1382	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SA1384	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SA1408	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
