品番,ライフサイクル,分類名,I<sub>F(AV)</sub> (Max)(A),V<sub>RRM</sub> (Max)(V),t<sub>rr</sub> (Max)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"CRH02","","高効率高速整流用ダイオード(HED)","0.5","200","35","2","Y","S-FLAT",
"CMH04","","高効率高速整流用ダイオード(HED)","1","200","35","2","Y","M-FLAT",
"CMH05A","","高効率高速整流用ダイオード(HED)","1","400","35","2","Y","M-FLAT",
"CMH05","","高効率高速整流用ダイオード(HED)","1","400","50","2","Y","M-FLAT",
"CRH01","","高効率高速整流用ダイオード(HED)","1","200","35","2","Y","S-FLAT",
"CMH07","","高効率高速整流用ダイオード(HED)","2","200","35","2","Y","M-FLAT",
"CMH08A","","高効率高速整流用ダイオード(HED)","2","400","35","2","Y","M-FLAT",
"CMH08","","高効率高速整流用ダイオード(HED)","2","400","50","2","Y","M-FLAT",
"CMH01","","高効率高速整流用ダイオード(HED)","3","200","35","2","Y","M-FLAT",
"CMH02A","","高効率高速整流用ダイオード(HED)","3","400","35","2","Y","M-FLAT",
"CMH02","","高効率高速整流用ダイオード(HED)","3","400","50","2","Y","M-FLAT",
"CLH05","","高効率高速整流用ダイオード(HED)","5","200","35","2","Y","L-FLAT",

