品番,ライフサイクル,V<sub>Z</sub> (Typ.) (V),P<sub>D</sub> (Max) (W),ピン数,面実装区分,パッケージ名(Toshiba),
"CRY62","","6.2","0.7","2","Y","S-FLAT",
"CRY68","","6.8","0.7","2","Y","S-FLAT",
"CRY75","","7.5","0.7","2","Y","S-FLAT",
"CRY82","","8.2","0.7","2","Y","S-FLAT",
"CRY91","","9.1","0.7","2","Y","S-FLAT",
"CRZ10","","10","0.7","2","Y","S-FLAT",
"CRZ11","","11","0.7","2","Y","S-FLAT",
"CMZ12","","12","2","2","Y","M-FLAT",
"CMZB12","","12","1","2","Y","M-FLAT",
"CRZ12","","12","0.7","2","Y","S-FLAT",
"CMZ13","","13","2","2","Y","M-FLAT",
"CMZB13","","13","1","2","Y","M-FLAT",
"CRZ13","","13","0.7","2","Y","S-FLAT",
"CMZ15","","15","2","2","Y","M-FLAT",
"CMZB15","","15","1","2","Y","M-FLAT",
"CRZ15","","15","0.7","2","Y","S-FLAT",
"CMZ16","","16","2","2","Y","M-FLAT",
"CMZB16","","16","1","2","Y","M-FLAT",
"CRZ16","","16","0.7","2","Y","S-FLAT",
"CMZ18","","18","2","2","Y","M-FLAT",
"CMZB18","","18","1","2","Y","M-FLAT",
"CRZ18","","18","0.7","2","Y","S-FLAT",
"CMZ20","","20","2","2","Y","M-FLAT",
"CMZB20","","20","1","2","Y","M-FLAT",
"CRZ20","","20","0.7","2","Y","S-FLAT",
"CMZ22","","22","2","2","Y","M-FLAT",
"CMZB22","","22","1","2","Y","M-FLAT",
"CRZ22","","22","0.7","2","Y","S-FLAT",
"CMZ24","","24","2","2","Y","M-FLAT",
"CMZB24","","24","1","2","Y","M-FLAT",
"CRZ24","","24","0.7","2","Y","S-FLAT",
"CMZ27","","27","2","2","Y","M-FLAT",
"CMZB27","","27","1","2","Y","M-FLAT",
"CRZ27","","27","0.7","2","Y","S-FLAT",
"CMZ30","","30","2","2","Y","M-FLAT",
"CMZB30","","30","1","2","Y","M-FLAT",
"CRZ30","","30","0.7","2","Y","S-FLAT",
"CMZ33","","33","2","2","Y","M-FLAT",
"CMZB33","","33","1","2","Y","M-FLAT",
"CRZ33","","33","0.7","2","Y","S-FLAT",
"CMZ36","","36","2","2","Y","M-FLAT",
"CMZB36","","36","1","2","Y","M-FLAT",
"CRZ36","","36","0.7","2","Y","S-FLAT",
"CMZ39","","39","2","2","Y","M-FLAT",
"CMZB39","","39","1","2","Y","M-FLAT",
"CRZ39","","39","0.7","2","Y","S-FLAT",
"CMZ43","","43","2","2","Y","M-FLAT",
"CMZ47","","43","2","2","Y","M-FLAT",
"CMZB43","","43","1","2","Y","M-FLAT",
"CRZ43","","43","0.7","2","Y","S-FLAT",
"CMZB47","","47","1","2","Y","M-FLAT",
"CRZ47","","47","0.7","2","Y","S-FLAT",
"CMZ51","","51","2","2","Y","M-FLAT",
"CMZB51","","51","1","2","Y","M-FLAT",
"CMZ53","","53","2","2","Y","M-FLAT",
"CMZB53","","53","1","2","Y","M-FLAT",
"CMZB68","","68","1","2","Y","M-FLAT",
"CMZB75","","75","1","2","Y","M-FLAT",
"CMZB82","","82","1","2","Y","M-FLAT",
"CMZB100","","100","1","2","Y","M-FLAT",
"CMZB110","","110","1","2","Y","M-FLAT",
"CMZB150","","150","1","2","Y","M-FLAT",
"CMZB180","","180","1","2","Y","M-FLAT",
"CMZB200","","200","1","2","Y","M-FLAT",
"CMZB220","","220","1","2","Y","M-FLAT",
"CMZB240","","240","1","2","Y","M-FLAT",
"CMZB270","","270","1","2","Y","M-FLAT",
"CMZB300","","300","1","2","Y","M-FLAT",
"CMZB330","","330","1","2","Y","M-FLAT",
"CMZB390","","390","1","2","Y","M-FLAT",

