#label,component_name,tag,footprint,vendor
######## resistance ########,,,,
r,R,1,,
r,R(0402M),1,0402M,
r,R(0603M),1,0603M,
r,R(1005M),1,1005M,
r,R(1608M),1,1608M,
r,R(2012M),1,2012M,
r,R(3216M),1,3216M,
r,R(3225M),1,3225M,
r,R(4520M),1,4520M,
r,R(4532M),1,4532M,
r,R(5720M),1,5720M,
r,R(5750M),1,5750M,
######## capacitance ########,,,,
c,C(cera),0,,
c,C(pole),1,,
c,C(npole),2,,
c,C(0402M),0,0402M,
c,C(0603M),0,0603M,
c,C(1005M),0,1005M,
c,C(1608M),0,1608M,
c,C(2012M),0,2012M,
c,C(3216M),0,3216M,
c,C(3225M),0,3225M,
c,C(4520M),0,4520M,
c,C(4532M),0,4532M,
c,C(5720M),0,5720M,
c,C(5750M),0,5750M,
######## transistor ########,,,,
tr,2SC2712,npn,,
tr,2SC2713,npn,,
tr,2SC2859,npn,,
tr,2SC2881,npn,,
tr,2SC3076,npn,,
tr,2SC3138,npn,,
tr,2SC3265,npn,,
tr,2SC3303,npn,,
tr,2SC3324,npn,,
tr,2SC3325,npn,,
tr,2SC3326,npn,,
tr,2SC4116,npn,,
tr,2SC4117,npn,,
tr,2SC4118,npn,,
tr,2SC4213,npn,,
tr,2SC4497,npn,,
tr,2SC4738,npn,,
tr,2SC5198,npn,,
tr,2SC5199,npn,,
tr,2SC5200N,npn,,
tr,2SC5200,npn,,
tr,2SC5232,npn,,
tr,2SC5233,npn,,
tr,2SC5242,npn,,
tr,2SC5354,npn,,
tr,2SC5358,npn,,
tr,2SC5359,npn,,
tr,2SC5376CT,npn,,
tr,2SC5376FV,npn,,
tr,2SC5376,npn,,
tr,2SC5548A,npn,,
tr,2SC5692,npn,,
tr,2SC5703,npn,,
tr,2SC5712,npn,,
tr,2SC5713,npn,,
tr,2SC5714,npn,,
tr,2SC5738,npn,,
tr,2SC5755,npn,,
tr,2SC5784,npn,,
tr,2SC5785,npn,,
tr,2SC5810,npn,,
tr,2SC5819,npn,,
tr,2SC5886A,npn,,
tr,2SC5906,npn,,
tr,2SC5948,npn,,
tr,2SC5949,npn,,
tr,2SC5976,npn,,
tr,2SC6000,npn,,
tr,2SC6026CT,npn,,
tr,2SC6026MFV,npn,,
tr,2SC6033,npn,,
tr,2SC6061,npn,,
tr,2SC6076,npn,,
tr,2SC6100,npn,,
tr,2SC6124,npn,,
tr,2SC6125,npn,,
tr,2SC6126,npn,,
tr,2SC6127,npn,,
tr,2SC6133,npn,,
tr,2SC6134,npn,,
tr,2SC6135,npn,,
tr,2SC6142,npn,,
tr,2SD1223,npn,,
tr,2SD2686,npn,,
tr,2SD2719,npn,,
tr,TPC6501,npn,,
tr,TPC6502,npn,,
tr,TPC6503,npn,,
tr,TPC6504,npn,,
tr,TPCP8504,npn,,
tr,TPCP8505,npn,,
tr,TPCP8507,npn,,
tr,TPCP8510,npn,,
tr,TPCP8511,npn,,
tr,TTC0001,npn,,
tr,TTC0002,npn,,
tr,TTC005,npn,,
tr,TTC007,npn,,
tr,TTC008,npn,,
tr,TTC012,npn,,
tr,TTC013,npn,,
tr,TTC3710B,npn,,
tr,TTC4116FU,npn,,
tr,TTC5200,npn,,
tr,TTD1409B,npn,,
tr,TTD1410B,npn,,
tr,TTD1415B,npn,,
tr,2SA1162,pnp,,
tr,2SA1163,pnp,,
tr,2SA1182,pnp,,
tr,2SA1201,pnp,,
tr,2SA1225,pnp,,
tr,2SA1241,pnp,,
tr,2SA1244,pnp,,
tr,2SA1298,pnp,,
tr,2SA1312,pnp,,
tr,2SA1313,pnp,,
tr,2SA1362,pnp,,
tr,2SA1483,pnp,,
tr,2SA1586,pnp,,
tr,2SA1587,pnp,,
tr,2SA1588,pnp,,
tr,2SA1620,pnp,,
tr,2SA1621,pnp,,
tr,2SA1721,pnp,,
tr,2SA1832,pnp,,
tr,2SA1941,pnp,,
tr,2SA1942,pnp,,
tr,2SA1943N,pnp,,
tr,2SA1943,pnp,,
tr,2SA1953,pnp,,
tr,2SA1954,pnp,,
tr,2SA1955FV,pnp,,
tr,2SA1955,pnp,,
tr,2SA1962,pnp,,
tr,2SA1971,pnp,,
tr,2SA1986,pnp,,
tr,2SA1987,pnp,,
tr,2SA2034,pnp,,
tr,2SA2056,pnp,,
tr,2SA2058,pnp,,
tr,2SA2059,pnp,,
tr,2SA2060,pnp,,
tr,2SA2061,pnp,,
tr,2SA2065,pnp,,
tr,2SA2066,pnp,,
tr,2SA2069,pnp,,
tr,2SA2070,pnp,,
tr,2SA2097,pnp,,
tr,2SA2120,pnp,,
tr,2SA2121,pnp,,
tr,2SA2142,pnp,,
tr,2SA2154CT,pnp,,
tr,2SA2154MFV,pnp,,
tr,2SA2184,pnp,,
tr,2SA2195,pnp,,
tr,2SA2206,pnp,,
tr,2SA2214,pnp,,
tr,2SA2215,pnp,,
tr,2SB906,pnp,,
tr,TPC6601,pnp,,
tr,TPC6602,pnp,,
tr,TPC6603,pnp,,
tr,TPC6604,pnp,,
tr,TPCP8601,pnp,,
tr,TPCP8602,pnp,,
tr,TPCP8604,pnp,,
tr,TTA0001,pnp,,
tr,TTA0002,pnp,,
tr,TTA003,pnp,,
tr,TTA005,pnp,,
tr,TTA007,pnp,,
tr,TTA1452B,pnp,,
tr,TTA1586FU,pnp,,
tr,TTA1943,pnp,,
tr,TTB001,pnp,,
tr,TTB002,pnp,,
tr,TTB1020B,pnp,,
mosfet,2SK1062,n,,
mosfet,2SK1359,n,,
mosfet,2SK1828,n,,
mosfet,2SK1829,n,,
mosfet,2SK1830,n,,
mosfet,2SK2009,n,,
mosfet,2SK2033,n,,
mosfet,2SK2034,n,,
mosfet,2SK2035,n,,
mosfet,2SK2036,n,,
mosfet,2SK2037,n,,
mosfet,2SK2601,n,,
mosfet,2SK2602,n,,
mosfet,2SK2607,n,,
mosfet,2SK2613,n,,
mosfet,2SK2699,n,,
mosfet,2SK2719,n,,
mosfet,2SK2847,n,,
mosfet,2SK2865,n,,
mosfet,2SK2917,n,,
mosfet,2SK2963,n,,
mosfet,2SK2964,n,,
mosfet,2SK2992,n,,
mosfet,2SK3017,n,,
mosfet,2SK3132,n,,
mosfet,2SK3301,n,,
mosfet,2SK3438,n,,
mosfet,2SK3466,n,,
mosfet,2SK3471,n,,
mosfet,2SK3473,n,,
mosfet,2SK3544,n,,
mosfet,2SK3561,n,,
mosfet,2SK3562,n,,
mosfet,2SK3563,n,,
mosfet,2SK3564,n,,
mosfet,2SK3565,n,,
mosfet,2SK3566,n,,
mosfet,2SK3567,n,,
mosfet,2SK3568,n,,
mosfet,2SK3569,n,,
mosfet,2SK3633,n,,
mosfet,2SK3667,n,,
mosfet,2SK3700,n,,
mosfet,2SK3742,n,,
mosfet,2SK3767,n,,
mosfet,2SK3797,n,,
mosfet,2SK3798,n,,
mosfet,2SK3799,n,,
mosfet,2SK3842,n,,
mosfet,2SK3843,n,,
mosfet,2SK3878,n,,
mosfet,2SK3880,n,,
mosfet,2SK3934,n,,
mosfet,2SK3940,n,,
mosfet,2SK3947,n,,
mosfet,2SK4012,n,,
mosfet,2SK4013,n,,
mosfet,2SK4014,n,,
mosfet,2SK4017,n,,
mosfet,2SK4033,n,,
mosfet,2SK4034,n,,
mosfet,2SK4115,n,,
mosfet,2SK4207,n,,
mosfet,SSM3K01F,n,,
mosfet,SSM3K01T,n,,
mosfet,SSM3K09FU,n,,
mosfet,SSM3K104TU,n,,
mosfet,SSM3K106TU,n,,
mosfet,SSM3K116TU,n,,
mosfet,SSM3K119TU,n,,
mosfet,SSM3K121TU,n,,
mosfet,SSM3K122TU,n,,
mosfet,SSM3K123TU,n,,
mosfet,SSM3K124TU,n,,
mosfet,SSM3K127TU,n,,
mosfet,SSM3K131TU,n,,
mosfet,SSM3K15ACT,n,,
mosfet,SSM3K15AFS,n,,
mosfet,SSM3K15AFU,n,,
